hostname,default_flag,sy_snum,pl_orbsmax,pl_rade,pl_insol,st_refname,st_spectype,st_met,st_metratio,sy_refname,rastr,ra,decstr,dec,sy_kmag,sy_gaiamag,rowupdate
Kepler-1098,1,1,,1.3,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,-0.02,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h42m00.64s,295.502673,+43d13m57.72s,43.2326992,13.07,14.7332,5/6/2016
Kepler-1099,1,1,,2.83,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,-0.02,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h15m00.00s,288.7499866,+48d16m37.62s,48.2771163,13.697,15.1336,5/6/2016
Kepler-11,1,1,0.091,1.8,,<a refstr=LISSAUER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...770..131L/abstract target=ref> Lissauer et al. 2013 </a>,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h48m27.62s,297.1150949,+41d54m32.79s,41.9091092,12.18,13.7062,5/14/2014
Kepler-11,1,1,0.107,2.87,,<a refstr=LISSAUER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...770..131L/abstract target=ref> Lissauer et al. 2013 </a>,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h48m27.62s,297.1150949,+41d54m32.79s,41.9091092,12.18,13.7062,5/14/2014
Kepler-11,1,1,0.155,3.12,,<a refstr=LISSAUER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...770..131L/abstract target=ref> Lissauer et al. 2013 </a>,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h48m27.62s,297.1150949,+41d54m32.79s,41.9091092,12.18,13.7062,5/14/2014
Kepler-11,1,1,0.195,4.19,,<a refstr=LISSAUER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...770..131L/abstract target=ref> Lissauer et al. 2013 </a>,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h48m27.62s,297.1150949,+41d54m32.79s,41.9091092,12.18,13.7062,5/14/2014
Kepler-11,1,1,0.25,2.49,,<a refstr=LISSAUER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...770..131L/abstract target=ref> Lissauer et al. 2013 </a>,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h48m27.62s,297.1150949,+41d54m32.79s,41.9091092,12.18,13.7062,5/14/2014
Kepler-11,1,1,0.466,3.33,,<a refstr=LISSAUER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...770..131L/abstract target=ref> Lissauer et al. 2013 </a>,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h48m27.62s,297.1150949,+41d54m32.79s,41.9091092,12.18,13.7062,5/14/2014
Kepler-110,1,1,0.107,1.83,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h31m43.00s,292.9291693,+48d36m10.19s,48.6028303,11.623,12.902,5/14/2014
Kepler-110,1,1,0.198,2.21,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h31m43.00s,292.9291693,+48d36m10.19s,48.6028303,11.623,12.902,5/14/2014
Kepler-1100,1,1,,1.75,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,0.05,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h27m29.12s,291.8713535,+44d05m14.61s,44.0873907,12.456,13.8225,5/6/2016
Kepler-1101,1,1,,2.47,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,-0.04,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h38m16.65s,294.5693544,+45d40m16.18s,45.6711623,13.314,15.0958,5/6/2016
Kepler-1102,1,1,,2.66,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,-0.08,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h45m17.42s,281.3225917,+48d03m59.38s,48.0664955,13.381,14.9224,5/6/2016
Kepler-1103,1,1,,2.27,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,-0.01,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h09m31.71s,287.3821348,+49d27m08.73s,49.4524247,12.731,14.0732,5/6/2016
Kepler-1104,1,1,,1.23,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,0.13,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h37m52.44s,294.4685197,+49d19m51.52s,49.3309789,10.971,12.0831,5/6/2016
Kepler-1105,1,1,,2.01,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,0.28,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h44m26.82s,281.1117588,+42d27m17.89s,42.4549698,12.371,15.1422,5/6/2016
Kepler-1106,1,1,,1.65,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,0,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h24m34.84s,291.1451576,+44d03m44.90s,44.0624715,13.234,14.6276,5/6/2016
Kepler-1107,1,1,,1.34,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,0.01,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h24m11.98s,291.049934,+39d08m30.03s,39.141674,12.152,14.1282,5/6/2016
Kepler-1108,1,1,,1.46,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,-0.09,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h44m10.15s,296.0422962,+45d59m06.50s,45.98514,13.172,14.9192,5/6/2016
Kepler-1109,1,1,,2.19,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,0.04,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h26m35.10s,291.6462654,+39d23m47.80s,39.3966122,12.707,14.2665,5/6/2016
Kepler-111,1,1,0.046,1.58,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h26m36.76s,291.653163,+44d41m17.74s,44.6882613,12.11,13.4192,5/14/2014
Kepler-111,1,1,0.751,7.0840758,2.48,<a refstr=DALBA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..271...16D/abstract target=ref>Dalba et al. 2024</a>,,0.237,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h26m36.76s,291.653163,+44d41m17.74s,44.6882613,12.11,13.4192,9/13/2024
Kepler-1110,1,1,,2.66,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,-0.16,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h27m13.94s,291.8080645,+38d37m21.58s,38.6226615,13.604,15.8872,5/6/2016
Kepler-1111,1,1,,2,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,0.02,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h41m51.22s,295.4634045,+45d48m45.97s,45.8127697,13.244,14.7155,5/6/2016
Kepler-1112,1,1,,3.02,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,0.04,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h47m52.51s,296.9687937,+47d45m05.33s,47.7514799,13.397,14.5611,5/6/2016
Kepler-1113,1,1,,2.81,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,0.18,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h17m37.61s,289.4066969,+39d20m19.73s,39.338813,13.191,14.7828,5/6/2016
Kepler-1114,1,1,,1.35,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,-0.08,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h56m56.89s,299.2370531,+45d50m05.20s,45.8347781,11.944,13.7579,5/6/2016
Kepler-1115,1,1,,1.7,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,-0.51,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h39m58.03s,294.9917723,+40d08m39.83s,40.1443964,11.512,11.8822,5/6/2016
Kepler-1116,1,1,,2.54,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,0.01,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h27m44.08s,291.9336573,+44d06m55.80s,44.1154992,13.482,15.2352,5/6/2016
Kepler-1117,1,1,,1.11,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,0.03,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h28m20.35s,292.0847866,+49d14m14.71s,49.2374206,12.463,14.1237,5/6/2016
Kepler-1118,1,1,,2.74,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,0,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h59m51.76s,299.9656619,+44d09m39.17s,44.1608805,13.04,14.956,5/6/2016
Kepler-1119,1,1,,1.92,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,0.03,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h48m04.58s,297.0191018,+44d19m38.98s,44.3274936,13.456,15.0671,5/6/2016
Kepler-112,1,1,0.076,2.36,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h47m55.47s,296.9811361,+43d12m34.93s,43.2097025,12.155,13.7662,5/14/2014
Kepler-112,1,1,0.172,2.4,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h47m55.47s,296.9811361,+43d12m34.93s,43.2097025,12.155,13.7662,5/14/2014
Kepler-1120,1,1,,1.38,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,-0.04,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h23m39.47s,290.9144516,+42d17m11.59s,42.2865522,13.17,15.3045,5/6/2016
Kepler-1121,1,1,,1.91,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,0.12,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h51m08.77s,297.7865467,+47d53m10.16s,47.8861542,10.795,12.017,5/6/2016
Kepler-1122,1,1,,2.04,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,-0.03,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h13m07.34s,288.2805801,+46d20m27.15s,46.3408747,13.369,15.1025,5/6/2016
Kepler-1123,1,1,,1.67,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,0.05,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h38m04.25s,294.5177291,+50d40m13.41s,50.6703927,13.105,14.8069,5/6/2016
Kepler-1124,1,1,,1.28,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,-0.59,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h06m22.62s,286.5942529,+37d53m28.62s,37.8912836,12.826,15.9678,5/6/2016
Kepler-1125,1,1,,1.84,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,-0.09,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h41m55.49s,295.4812018,+40d43m54.95s,40.7319316,13.243,14.8766,5/6/2016
Kepler-1126,1,1,,1.73,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,-0.26,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h02m46.07s,285.691955,+45d41m21.84s,45.6893993,12.534,14.0207,5/6/2016
Kepler-1126,1,1,0.6193,1.45,2.06,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,-0.4,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h02m46.07s,285.691955,+45d41m21.84s,45.6893993,12.534,14.0207,5/8/2017
Kepler-1127,1,1,,1.96,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,0.04,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h32m52.17s,293.2173563,+42d43m14.10s,42.7205846,13.463,15.1325,5/6/2016
Kepler-1128,1,1,,3.65,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,0.04,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h32m15.20s,293.063315,+39d24m12.26s,39.4034052,13.896,15.6861,5/6/2016
Kepler-1129,1,1,,2.96,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,-0.04,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h26m25.08s,291.6044965,+41d18m33.58s,41.3093275,13.783,15.2572,5/6/2016
Kepler-1129,1,1,,2.73,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,-0.04,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h26m25.08s,291.6044965,+41d18m33.58s,41.3093275,13.783,15.2572,5/6/2016
Kepler-113,1,1,,1.82,,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,,0.05,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h11m59.49s,287.9978721,+50d56m39.06s,50.9441847,11.255,13.4598,5/14/2014
Kepler-113,1,1,,2.18,,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,,0.05,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h11m59.49s,287.9978721,+50d56m39.06s,50.9441847,11.255,13.4598,10/12/2016
Kepler-1130,1,2,,0.8,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,-0.06,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h00m49.78s,285.207421,+45d23m03.60s,45.384333,10.662,12.3956,5/6/2016
Kepler-1130,1,2,,0.79239584,,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,0.1,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h00m49.78s,285.207421,+45d23m03.60s,45.384333,10.662,12.3956,12/5/2021
Kepler-1130,1,2,,0.64472273,,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,0.1,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h00m49.78s,285.207421,+45d23m03.60s,45.384333,10.662,12.3956,12/5/2021
Kepler-1131,1,1,,1.59,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,0.05,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h42m36.35s,295.6514492,+49d15m40.66s,49.2612954,13.416,14.9375,5/6/2016
Kepler-1132,1,1,,2.35,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,-0.01,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h05m28.20s,286.3675188,+48d25m26.01s,48.4238906,13.633,15.4722,5/6/2016
Kepler-1133,1,1,,1.97,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,-0.02,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h33m17.38s,293.3224114,+42d52m02.97s,42.8674925,13.168,14.8099,5/6/2016
Kepler-1134,1,1,,2.64,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,-0.1,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h42m16.29s,295.5678578,+42d28m41.18s,42.4781064,13.881,15.8249,5/6/2016
Kepler-1135,1,1,,1.85,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,0.02,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h04m00.72s,286.0029904,+44d45m23.60s,44.7565551,12.75,14.2953,5/6/2016
Kepler-1136,1,1,,1.64,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,0.03,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h56m25.88s,284.1078441,+44d14m44.90s,44.2458047,13.174,15.6422,5/6/2016
Kepler-1137,1,1,,2.2,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,0.05,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h08m31.26s,287.1302407,+48d39m55.25s,48.665347,11.699,12.6907,5/6/2016
Kepler-1138,1,1,,1.7,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,0.04,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h03m35.84s,285.8993164,+48d18m26.23s,48.307285,13.754,15.3357,5/6/2016
Kepler-1139,1,1,,1.19,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,0.05,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h11m46.94s,287.9455985,+39d13m49.90s,39.2305281,12.339,14.1349,5/6/2016
Kepler-114,1,1,0.053,1.26,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h36m29.16s,294.121482,+48d20m59.27s,48.3497977,11.366,13.7125,5/14/2014
Kepler-114,1,1,,1.6,,<a refstr=XIE_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...25X/abstract target=ref>Xie 2014</a>,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h36m29.16s,294.121482,+48d20m59.27s,48.3497977,11.366,13.7125,5/14/2014
