hostname,default_flag,sy_snum,pl_orbsmax,pl_rade,pl_insol,st_refname,st_spectype,st_met,st_metratio,sy_refname,rastr,ra,decstr,dec,sy_kmag,sy_gaiamag,rowupdate
K2-270,1,1,0.0497,2.95,,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,,0.26,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h45m03.97s,131.2665588,+13d32m59.04s,13.5497322,11.368,13.4701,10/24/2018
K2-271,1,1,0.077,7.28,,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,,-0.3,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h20m53.74s,125.2239144,+16d05m26.86s,16.0907958,12.154,13.6582,10/24/2018
K2-272,1,1,0.1007,3.13,,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,,-0.09,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h50m29.08s,132.6211743,+17d32m32.59s,17.5423852,12,13.6668,9/20/2021
K2-273,1,1,0.0729,3.05,,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,,0.2,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h39m06.45s,129.7768928,+19d00m36.02s,19.0100046,11.3,13.1461,9/20/2021
K2-274,1,1,0.0964,2.08,,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,,-0.16,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h37m07.77s,129.2823699,+20d23m57.30s,20.3992512,10.986,12.8852,9/20/2021
K2-275,1,1,0.0277,2.34,,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,,-0.06,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h48m40.77s,132.1698795,+20d27m18.06s,20.4550162,9.749,11.8139,9/20/2021
K2-275,1,1,0.0881,2.21,,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,,-0.06,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h48m40.77s,132.1698795,+20d27m18.06s,20.4550162,9.749,11.8139,9/20/2021
K2-276,1,1,0.1291,3.77,,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,,0.07,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h23m48.68s,125.9528309,+22d38m02.18s,22.6339399,12.26,14.3792,10/24/2018
K2-277,1,1,0.0664,2.18575124,,<a refstr=THYGESEN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..155T/abstract target=ref>Thygesen et al. 2023</a>,,0.078,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h28m03.89s,202.0161895,-15d56m16.71s,-15.9379749,8.687,10.1214,11/20/2024
K2-278,1,1,0.0488,2.98,,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,,0,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h33m12.45s,203.3018653,-14d30m14.78s,-14.5041057,11.701,13.2538,10/24/2018
K2-279,1,1,0.067,1.21,,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,,-0.37,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h39m07.03s,204.7792935,-06d02m30.33s,-6.0417592,9.994,11.5907,10/24/2018
K2-28,1,1,0.0214,2.32,,<a refstr=HIRANO_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...41H/abstract target=ref>Hirano et al. 2016</a>,M4,0.26,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h22m29.60s,335.6233145,-07d57m22.87s,-7.9563525,10.746,14.6799,2/24/2016
K2-280,1,1,0.1461,7.5,,<a refstr=NOWAK_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.497.4423N/abstract target=ref>Nowak et al. 2020</a>,,0.33,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h26m22.89s,291.5953596,-22d14m51.75s,-22.2477071,10.765,12.3604,7/12/2021
K2-281,1,1,0.0773,8.18,,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,,0.22,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h04m54.59s,16.2274724,+07d16m09.18s,7.2692169,12.523,14.7677,10/24/2018
K2-282,1,1,,2.5,,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,,-0.23,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h53m43.72s,13.4321524,+07d59m43.05s,7.9952914,12.002,13.8183,3/28/2022
K2-283,1,1,0.0291,3.52,,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,,0.28,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h52m46.65s,13.1943679,+09d41m34.51s,9.6929181,11.983,14.1316,10/24/2018
K2-284,1,1,0.04771,2.78,42.6,<a refstr=DAVID_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..302D/abstract target=ref>David et al. 2018</a>,,0,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h16m33.79s,79.1407971,+20d15m17.65s,20.2549034,10.058,12.8598,11/12/2018
K2-285,1,1,0.03817,2.59,234.31,<a refstr=PALLE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623A..41P/abstract target=ref>Palle et al. 2019</a>,K2 V,0,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h17m32.24s,349.3843458,+01d18m00.55s,1.3001522,9.971,11.804,12/11/2018
K2-285,1,1,0.0824,3.53,50.35,<a refstr=PALLE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623A..41P/abstract target=ref>Palle et al. 2019</a>,K2 V,0,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h17m32.24s,349.3843458,+01d18m00.55s,1.3001522,9.971,11.804,12/11/2018
K2-285,1,1,0.1178,2.48,24.61,<a refstr=PALLE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623A..41P/abstract target=ref>Palle et al. 2019</a>,K2 V,0,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h17m32.24s,349.3843458,+01d18m00.55s,1.3001522,9.971,11.804,12/11/2018
